NO_REGIAO,Estado,perc_com_internet
Centro-Oeste,"Distrito Federal",97.43
Sul,Paraná,95.19
Centro-Oeste,Goiás,94.09
Centro-Oeste,"Mato Grosso do Sul",91.16
Sudeste,"São Paulo",90.41
Sul,"Santa Catarina",89.50
Sudeste,"Rio de Janeiro",88.14
Sul,"Rio Grande do Sul",87.40
Nordeste,Paraíba,86.54
Norte,Rondônia,86.31
Centro-Oeste,"Mato Grosso",84.55
Nordeste,Alagoas,83.61
Norte,Amazonas,83.00
Nordeste,Sergipe,80.96
Nordeste,Pernambuco,78.63
Nordeste,Bahia,78.18
Norte,Amapá,78.17
Sudeste,"Espírito Santo",76.65
Nordeste,Maranhão,75.92
Nordeste,Ceará,75.23
Norte,Pará,72.94
Nordeste,Piauí,70.26
Nordeste,"Rio Grande do Norte",69.12
Norte,Roraima,67.12
Norte,Tocantins,66.74
Sudeste,"Minas Gerais",65.82
Norte,Acre,58.83
