NO_UF,tipo_escola,total_matriculas
Acre,Federal,3431
Acre,Estadual,137459
Acre,Municipal,93388
Acre,Privada,14062
Alagoas,Federal,9872
Alagoas,Estadual,173189
Alagoas,Municipal,546579
Alagoas,Privada,134092
Amapá,Federal,2052
Amapá,Estadual,108740
Amapá,Municipal,79903
Amapá,Privada,23017
Amazonas,Federal,10646
Amazonas,Estadual,421072
Amazonas,Municipal,623723
Amazonas,Privada,98392
Bahia,Federal,24604
Bahia,Estadual,686140
Bahia,Municipal,2115211
Bahia,Privada,590594
Ceará,Federal,13883
Ceará,Estadual,397146
Ceará,Municipal,1313680
Ceará,Privada,408225
"Distrito Federal",Federal,8294
"Distrito Federal",Estadual,418041
"Distrito Federal",Privada,203258
"Espírito Santo",Federal,13257
"Espírito Santo",Estadual,203333
"Espírito Santo",Municipal,532124
"Espírito Santo",Privada,120665
Goiás,Federal,9718
Goiás,Estadual,543768
Goiás,Municipal,703735
Goiás,Privada,292928
Maranhão,Federal,16252
Maranhão,Estadual,314319
Maranhão,Municipal,1277268
Maranhão,Privada,243145
"Mato Grosso",Federal,10694
"Mato Grosso",Estadual,319666
"Mato Grosso",Municipal,448583
"Mato Grosso",Privada,119539
"Mato Grosso do Sul",Federal,7813
"Mato Grosso do Sul",Estadual,187581
"Mato Grosso do Sul",Municipal,378710
"Mato Grosso do Sul",Privada,105492
"Minas Gerais",Federal,47439
"Minas Gerais",Estadual,1609076
"Minas Gerais",Municipal,1825830
"Minas Gerais",Privada,811812
Pará,Federal,14158
Pará,Estadual,514945
Pará,Municipal,1434843
Pará,Privada,242925
Paraíba,Federal,12013
Paraíba,Estadual,201949
Paraíba,Municipal,544303
Paraíba,Privada,190860
Paraná,Federal,11562
Paraná,Estadual,912166
Paraná,Municipal,1098826
Paraná,Privada,476409
Pernambuco,Federal,16278
Pernambuco,Estadual,514832
Pernambuco,Municipal,1074746
Pernambuco,Privada,516098
Piauí,Federal,14367
Piauí,Estadual,179736
Piauí,Municipal,524632
Piauí,Privada,110814
"Rio de Janeiro",Federal,35905
"Rio de Janeiro",Estadual,666232
"Rio de Janeiro",Municipal,1662321
"Rio de Janeiro",Privada,1056777
"Rio Grande do Norte",Federal,19342
"Rio Grande do Norte",Estadual,196764
"Rio Grande do Norte",Municipal,390986
"Rio Grande do Norte",Privada,176098
"Rio Grande do Sul",Federal,27307
"Rio Grande do Sul",Estadual,694664
"Rio Grande do Sul",Municipal,1009549
"Rio Grande do Sul",Privada,496159
Rondônia,Federal,5495
Rondônia,Estadual,169903
Rondônia,Municipal,164401
Rondônia,Privada,44050
Roraima,Federal,2324
Roraima,Estadual,80882
Roraima,Municipal,87648
Roraima,Privada,14803
"Santa Catarina",Federal,19014
"Santa Catarina",Estadual,535084
"Santa Catarina",Municipal,888038
"Santa Catarina",Privada,326738
"São Paulo",Federal,19234
"São Paulo",Estadual,3584373
"São Paulo",Municipal,3855240
"São Paulo",Privada,2539596
Sergipe,Federal,4640
Sergipe,Estadual,146234
Sergipe,Municipal,258343
Sergipe,Privada,117569
Tocantins,Federal,3928
Tocantins,Estadual,135556
Tocantins,Municipal,202108
Tocantins,Privada,43715
