NO_UF,total_escolas,escolas_alta,escolas_media,escolas_baixa
"São Paulo",33863,12281,14811,6771
"Minas Gerais",23936,10337,4039,9560
"Rio de Janeiro",13204,6403,4327,2474
Paraná,10022,6006,3042,974
"Rio Grande do Sul",11262,5998,3155,2109
Bahia,19621,3771,4522,11328
"Santa Catarina",7420,3758,2435,1227
Ceará,10149,2687,2724,4738
Pernambuco,9936,2566,2361,5009
Goiás,5026,2375,1651,1000
Pará,11848,2087,2602,7159
"Mato Grosso",3191,1610,824,757
"Espírito Santo",3970,1556,1151,1263
Maranhão,13499,1268,2033,10198
Amazonas,6181,1249,1073,3859
Paraíba,5325,1158,1509,2658
"Rio Grande do Norte",4938,1145,1072,2721
"Mato Grosso do Sul",1956,986,695,275
Piauí,5632,825,1188,3619
Alagoas,3465,719,925,1821
Rondônia,1424,621,346,457
"Distrito Federal",1360,618,540,202
Tocantins,2258,544,463,1251
Sergipe,2489,448,617,1424
Amapá,953,254,271,428
Roraima,958,211,198,549
Acre,1659,162,342,1155
